country,population,population_pct,date_population_update,interest_rate_pct,date_interest_rate_last_change,average_inflation_rate_pct
China,1401376760.0,18.0,2020-02-17,4.2,2019-09-20,1.93
India,1358740950.0,17.5,2020-02-17,5.4,2019-08-07,6.12
United States,329300074.0,4.24,2020-02-17,1.75,2019-10-30,1.32
Indonesia,266911900.0,3.44,2019-07-01,6.0,2018-11-15,5.29
Pakistan,218653520.0,2.82,2020-02-17,13.25,2019-07-16,5.03
Brazil,211138128.0,2.72,2020-02-17,4.25,2020-02-05,6.73
Nigeria,200963599.0,2.59,2019-07-01,13.5,2019-03-26,11.49
Bangladesh,168118750.0,2.16,2020-02-17,6.0,2018-04-06,6.38
Russia,146780720.0,1.89,2019-01-01,6.0,2020-02-10,8.1
Mexico,126577691.0,1.63,2019-07-01,7.5,2019-11-15,3.88
Japan,126020000.0,1.62,2020-01-01,-0.1,2016-01-29,-0.26
Philippines,108288508.0,1.39,2020-02-17,4.0,2019-09-26,2.18
Egypt,100028878.0,1.29,2020-02-17,13.25,2019-09-26,14.41
Vietnam,96208984.0,1.24,2019-04-01,6.0,2019-09-16,3.65
DR Congo,86790567.0,1.12,2019-07-01,9.0,2019-04-30,11.46
Iran,83208295.0,1.07,2020-02-17,18.0,2016-05-01,17.37
Turkey,83154997.0,1.07,2019-12-31,11.25,2020-01-16,8.58
Thailand,66471167.0,0.856,2020-02-17,1.5,2019-08-07,0.8
United Kingdom,66435600.0,0.855,2018-06-30,0.75,2018-08-02,1.47
South Africa,58775022.0,0.757,2019-07-01,6.5,2019-07-18,5.64
South Korea,51811167.0,0.667,2019-07-01,1.25,2016-06-09,1.24
Kenya,47564296.0,0.612,2019-08-31,10.0,2016-09-20,6.7
Argentina,44938712.0,0.579,2019-07-01,68.0,2019-10-15,31.17
Ukraine,41922670.0,0.54,2019-12-01,11.0,2020-01-30,16.73
Uganda,40299300.0,0.519,2019-07-01,10.0,2017-06-19,4.89
Poland,38386000.0,0.494,2019-06-30,1.5,2015-03-04,0.31
Canada,37926457.0,0.488,2020-02-17,1.75,2018-10-24,1.4
Morocco,35813309.0,0.461,2020-02-17,2.25,2016-03-22,1.26
Saudi Arabia,34218169.0,0.441,2019-07-01,2.25,2019-10-30,2.31
Malaysia,32692760.0,0.421,2020-02-17,3.0,2019-05-07,2.66
Peru,32131400.0,0.414,2019-06-30,3.75,2017-07-13,3.2
Angola,31127674.0,0.401,2020-01-01,15.5,2019-05-24,17.54
Ghana,30280811.0,0.39,2019-07-01,20.0,2017-07-24,14.79
Mozambique,28571310.0,0.368,2019-07-01,12.75,2019-08-14,8.4
Australia,25619052.0,0.33,2020-02-17,0.75,2019-10-01,1.93
Sri Lanka,21803000.0,0.281,2019-07-01,7.25,2017-03-23,5.09
Romania,19405156.0,0.25,2019-01-01,2.5,2018-05-07,0.83
Chile,19107216.0,0.246,2019-07-01,1.75,2019-10-23,3.3
Kazakhstan,18646752.0,0.24,2020-02-17,9.0,2017-06-15,8.21
Malawi,17563749.0,0.226,2018-09-03,13.5,2019-05-03,21.26
Zambia,17381168.0,0.224,2019-07-01,10.25,2019-05-22,9.79
Rwanda,12374397.0,0.159,2019-07-01,6.0,2017-06-27,5.22
Tunisia,11722038.0,0.151,2019-07-01,7.75,2019-02-19,4.93
Czech Republic,10681161.0,0.138,2019-09-30,2.0,2019-05-02,1.04
Jordan,10616816.0,0.13699999999999998,2020-02-17,3.75,2017-06-15,1.85
Dominican Republic,10358320.0,0.133,2019-07-01,5.25,2017-07-31,2.69
Sweden,10323857.0,0.133,2019-11-30,-0.25,2018-12-20,0.5
Azerbaijan,10067108.0,0.13,2020-01-01,8.25,2019-07-26,6.51
Hungary,9772756.0,0.126,2019-01-01,0.9,2016-05-24,0.83
Belarus,9454800.0,0.122,2019-10-01,9.5,2019-08-07,13.47
Israel,9160480.0,0.118,2020-02-17,0.25,2018-11-26,0.21
Tajikistan,9127000.0,0.118,2019-01-01,13.25,2019-05-31,6.03
Switzerland,8586550.0,0.111,2019-09-30,-0.75,2015-01-15,-0.26
Sierra Leone,7901454.0,0.102,2019-07-01,13.0,2017-06-15,9.08
Hong Kong,7524100.0,0.0969,2019-06-30,2.0,2019-10-31,3.12
Paraguay,7152703.0,0.0921,2019-07-01,5.5,2016-07-20,3.7
Bulgaria,7000039.0,0.0901,2018-12-31,0.0,2016-01-29,0.12
Serbia,6963764.0,0.0897,2019-01-01,2.5,2019-08-08,3.05
Kyrgyzstan,6490300.0,0.0836,2019-10-01,5.0,2016-12-27,4.81
Denmark,5822763.0,0.075,2020-01-01,-0.75,2019-09-12,0.64
Norway,5356789.0,0.069,2019-10-01,1.5,2019-09-19,2.35
New Zealand,4959740.0,0.0639,2020-02-17,1.0,2019-08-07,1.03
Kuwait,4420110.0,0.0569,2019-01-01,2.75,2017-03-15,2.85
Georgia,3723464.0,0.0479,2019-01-01,7.0,2017-05-02,2.93
Mongolia,3303215.0,0.0425,2020-02-17,11.0,2018-11-27,6.8
Armenia,2957500.0,0.0381,2019-09-30,5.75,2019-01-29,2.38
Albania,2862427.0,0.0369,2019-01-01,1.0,2016-06-06,1.75
Qatar,2747282.0,0.0354,2019-09-30,5.0,2017-03-16,2.27
Jamaica,2726667.0,0.0351,2018-12-31,0.5,2019-08-27,5.37
Moldova,2681735.0,0.0345,2019-01-01,8.0,2017-06-29,6.45
Namibia,2458936.0,0.0317,2019-07-01,6.5,2019-08-14,5.44
Gambia,2347706.0,0.0302,2019-07-01,20.0,2017-05-09,6.74
Botswana,2338851.0,0.0301,2019-07-01,5.0,2017-10-24,3.89
North Macedonia,2077132.0,0.0267,2018-12-31,3.25,2017-02-15,0.65
Bahrain,1543300.0,0.0199,2019-07-01,2.5,2019-07-31,2.4
Trinidad and Tobago,1363985.0,0.0176,2019-06-30,9.25,2018-09-28,4.09
Mauritius,1265985.0,0.0163,2019-07-01,4.0,2016-07-20,2.53
Fiji,884887.0,0.0114,2017-09-17,0.5,2011-11-02,2.4
Cape Verde,550483.0,0.007090000000000002,2019-07-01,5.5,2017-06-07,0.15
Bahamas,385340.0,0.00496,2019-07-01,4.0,2016-12-22,0.97
Iceland,364260.0,0.00469,2019-12-31,3.25,2019-10-02,2.2
Barbados,287025.0,0.0037,2019-07-01,7.0,2009-06-01,1.67
Samoa,200874.0,0.00259,2019-07-01,0.19,2019-06-01,0.77
